2000	0.52669	0.41331	1.33101
2105	0.51541	0.41465	1.39021
2222	0.50338	0.41525	1.45962
2353	0.49059	0.41498	1.54240
2500	0.47701	0.41368	1.64291
2677	0.463	0.41121	1.76811
2857	0.446	0.40742	1.92863
3077	0.43156	0.40216	2.14300
3333	0.41502	0.39535	2.44455
3636	0.39792	0.38690	2.90309
4000	0.38045	0.37676	3.68730
4444	0.36276	0.36496	5.34398
5000	0.34510	0.35162	11.17883
5714	0.32775	0.33690	-39.34888
6667	0.31101	0.32116	-6.18336
8000	0.29518	0.30477	-3.08425
10000	0.28063	0.28828	-1.93507
